model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
rf,0,1,0.79106,0.8067,0.02463,0.01563,,"[0.80446927, 0.79329609, 0.78770950, 0.85474860, 0.79329609]"
rf,0,2,0.79106,0.76425,0.01671,-0.02681,,"[0.77094972, 0.75977654, 0.74860335, 0.79329609, 0.74860335]"
rf,0,3,0.79106,0.78212,0.02572,-0.00893,,"[0.79329609, 0.77094972, 0.75418994, 0.82681564, 0.76536313]"
rf,0,4,0.79106,0.8,0.02582,0.00894,,"[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
rf,0,5,0.79106,0.79553,0.02017,0.00446,,"[0.77094972, 0.79329609, 0.79329609, 0.83240223, 0.78770950]"
rf,0,6,0.79106,0.79106,0.01922,0.0,,"[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
rf,0,7,0.79106,0.79106,0.01922,0.0,,"[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
rf,0,8,0.79106,0.79218,0.02161,0.00112,,"[0.79329609, 0.78770950, 0.77653631, 0.83240223, 0.77094972]"
rf,0,9,0.79106,0.8,0.02582,0.00894,,"[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
rf,0,10,0.79106,0.80559,0.02301,0.01453,,"[0.79888268, 0.79329609, 0.80446927, 0.84916201, 0.78212291]"
