model,tuned,feature_num,baseline,kaggle_score,improvement,tuning_params
dt,0,baseline,0.73205,0.73205,0.0,
xgb,0,baseline,0.75119,0.75119,0.0,
rf,0,baseline,0.76555,0.76555,0.0,
lgbm,0,baseline,0.76555,0.76555,0.0,
cb,0,baseline,0.77751,0.77751,0.0,
dt,0,1,0.73205,0.78708,0.05503,
dt,0,2,0.73205,0.76555,0.03349,
dt,0,3,0.73205,0.77751,0.04546,
dt,0,4,0.73205,0.78468,0.05263,
dt,0,5,0.73205,0.75837,0.02632,
dt,0,6,0.73205,0.76315,0.0311,
dt,0,7,0.73205,0.77751,0.04546,
dt,0,8,0.73205,0.78468,0.05263,
dt,0,9,0.73205,0.78468,0.05263,
dt,0,10,0.73205,0.77751,0.04546,
dt,0,11,0.73205,0.78229,0.05024,
xgb,0,1,0.75119,0.78708,0.03588,
xgb,0,2,0.75119,0.76555,0.01435,
xgb,0,3,0.75119,0.77751,0.02632,
xgb,0,4,0.75119,0.78468,0.03349,
xgb,0,5,0.75119,0.76315,0.01195,
xgb,0,6,0.75119,0.76315,0.01195,
xgb,0,7,0.75119,0.77751,0.02632,
xgb,0,8,0.75119,0.78468,0.03349,
xgb,0,9,0.75119,0.78468,0.03349,
xgb,0,10,0.75119,0.77751,0.02632,
xgb,0,11,0.75119,0.78229,0.0311,
rf,0,1,0.76555,0.78708,0.02153,
rf,0,2,0.76555,0.75358,-0.01196,
rf,0,3,0.76555,0.76555,0.0,
rf,0,4,0.76555,0.78468,0.01913,
rf,0,5,0.76555,0.77272,0.00717,
rf,0,6,0.76555,0.76315,-0.00239,
rf,0,7,0.76555,0.77751,0.01196,
rf,0,8,0.76555,0.78468,0.01913,
rf,0,9,0.76555,0.78468,0.01913,
rf,0,10,0.76555,0.77751,0.01196,
rf,0,11,0.76555,0.78229,0.01674,
lgbm,0,1,0.76555,0.78708,0.02153,
lgbm,0,2,0.76555,0.76555,0.0,
lgbm,0,3,0.76555,0.77751,0.01196,
lgbm,0,4,0.76555,0.78468,0.01913,
lgbm,0,5,0.76555,0.77511,0.00956,
lgbm,0,6,0.76555,0.77511,0.00956,
lgbm,0,7,0.76555,0.77751,0.01196,
lgbm,0,8,0.76555,0.78468,0.01913,
lgbm,0,9,0.76555,0.78468,0.01913,
lgbm,0,10,0.76555,0.77751,0.01196,
lgbm,0,11,0.76555,0.78468,0.01913,
cb,0,1,0.77751,0.78708,0.00956,
cb,0,2,0.77751,0.76794,-0.00957,
cb,0,3,0.77751,0.77751,0.0,
cb,0,4,0.77751,0.78468,0.00717,
cb,0,5,0.77751,0.76076,-0.01675,
cb,0,6,0.77751,0.76315,-0.01436,
cb,0,7,0.77751,0.77751,0.0,
cb,0,8,0.77751,0.78468,0.00717,
cb,0,9,0.77751,0.78468,0.00717,
cb,0,10,0.77751,0.77751,0.0,
cb,0,11,0.77751,0.78229,0.00478,
dt,0,"1, 2",0.73205,0.76076,0.02871,
dt,0,"1, 3",0.73205,0.7799,0.04785,
dt,0,"1, 4",0.73205,0.78708,0.05503,
dt,0,"1, 5",0.73205,0.73923,0.00718,
dt,0,"1, 6",0.73205,0.78708,0.05503,
dt,0,"1, 7",0.73205,0.78708,0.05503,
dt,0,"1, 8",0.73205,0.78708,0.05503,
dt,0,"1, 9",0.73205,0.78708,0.05503,
dt,0,"1, 10",0.73205,0.78708,0.05503,
dt,0,"1, 11",0.73205,0.78708,0.05503,
dt,0,"2, 3",0.73205,0.76555,0.03349,
dt,0,"2, 4",0.73205,0.76794,0.03588,
dt,0,"2, 5",0.73205,0.74401,0.01195,
dt,0,"2, 6",0.73205,0.76315,0.0311,
dt,0,"2, 7",0.73205,0.76555,0.03349,
dt,0,"2, 8",0.73205,0.77272,0.04066,
dt,0,"2, 9",0.73205,0.77272,0.04066,
dt,0,"2, 10",0.73205,0.76555,0.03349,
dt,0,"2, 11",0.73205,0.78468,0.05263,
dt,0,"3, 4",0.73205,0.7799,0.04785,
dt,0,"3, 5",0.73205,0.75598,0.02393,
dt,0,"3, 6",0.73205,0.77033,0.03827,
dt,0,"3, 7",0.73205,0.77751,0.04546,
dt,0,"3, 8",0.73205,0.7799,0.04785,
dt,0,"3, 9",0.73205,0.78468,0.05263,
dt,0,"3, 10",0.73205,0.77751,0.04546,
dt,0,"3, 11",0.73205,0.78708,0.05503,
dt,0,"4, 5",0.73205,0.7488,0.01675,
dt,0,"4, 6",0.73205,0.77511,0.04305,
dt,0,"4, 7",0.73205,0.78468,0.05263,
dt,0,"4, 8",0.73205,0.78468,0.05263,
dt,0,"4, 9",0.73205,0.78468,0.05263,
dt,0,"4, 10",0.73205,0.78468,0.05263,
dt,0,"4, 11",0.73205,0.79186,0.05981,
dt,0,"5, 6",0.73205,0.7488,0.01675,
dt,0,"5, 7",0.73205,0.75837,0.02632,
dt,0,"5, 8",0.73205,0.76794,0.03588,
dt,0,"5, 9",0.73205,0.77033,0.03827,
dt,0,"5, 10",0.73205,0.75837,0.02632,
dt,0,"5, 11",0.73205,0.76555,0.03349,
dt,0,"6, 7",0.73205,0.76315,0.0311,
dt,0,"6, 8",0.73205,0.77033,0.03827,
dt,0,"6, 9",0.73205,0.77272,0.04066,
dt,0,"6, 10",0.73205,0.76315,0.0311,
dt,0,"6, 11",0.73205,0.77511,0.04305,
dt,0,"7, 8",0.73205,0.78468,0.05263,
dt,0,"7, 9",0.73205,0.78468,0.05263,
dt,0,"7, 10",0.73205,0.77751,0.04546,
dt,0,"7, 11",0.73205,0.78229,0.05024,
dt,0,"8, 9",0.73205,0.78468,0.05263,
dt,0,"8, 10",0.73205,0.78468,0.05263,
dt,0,"8, 11",0.73205,0.78708,0.05503,
dt,0,"9, 10",0.73205,0.78468,0.05263,
dt,0,"9, 11",0.73205,0.78947,0.05742,
dt,0,"10, 11",0.73205,0.78229,0.05024,
dt,0,"1, 2, 3",0.73205,0.76076,0.02871,
dt,0,"1, 2, 4",0.73205,0.77272,0.04066,
dt,0,"1, 2, 5",0.73205,0.73923,0.00718,
dt,0,"1, 2, 6",0.73205,0.75837,0.02632,
dt,0,"1, 2, 7",0.73205,0.76076,0.02871,
dt,0,"1, 2, 8",0.73205,0.75837,0.02632,
dt,0,"1, 2, 9",0.73205,0.76076,0.02871,
dt,0,"1, 2, 10",0.73205,0.76076,0.02871,
dt,0,"1, 2, 11",0.73205,0.78229,0.05024,
dt,0,"1, 3, 4",0.73205,0.78708,0.05503,
dt,0,"1, 3, 5",0.73205,0.7488,0.01675,
dt,0,"1, 3, 6",0.73205,0.77751,0.04546,
dt,0,"1, 3, 7",0.73205,0.7799,0.04785,
dt,0,"1, 3, 8",0.73205,0.7799,0.04785,
dt,0,"1, 3, 9",0.73205,0.77751,0.04546,
dt,0,"1, 3, 10",0.73205,0.7799,0.04785,
dt,0,"1, 3, 11",0.73205,0.79186,0.05981,
dt,0,"1, 4, 5",0.73205,0.74162,0.00956,
dt,0,"1, 4, 6",0.73205,0.78708,0.05503,
dt,0,"1, 4, 7",0.73205,0.78708,0.05503,
dt,0,"1, 4, 8",0.73205,0.78708,0.05503,
dt,0,"1, 4, 9",0.73205,0.78468,0.05263,
dt,0,"1, 4, 10",0.73205,0.78708,0.05503,
dt,0,"1, 4, 11",0.73205,0.79425,0.0622,
dt,0,"1, 5, 6",0.73205,0.73923,0.00718,
dt,0,"1, 5, 7",0.73205,0.73923,0.00718,
dt,0,"1, 5, 8",0.73205,0.74162,0.00956,
dt,0,"1, 5, 9",0.73205,0.73923,0.00718,
dt,0,"1, 5, 10",0.73205,0.73923,0.00718,
dt,0,"1, 5, 11",0.73205,0.75358,0.02153,
dt,0,"1, 6, 7",0.73205,0.78708,0.05503,
dt,0,"1, 6, 8",0.73205,0.78708,0.05503,
dt,0,"1, 6, 9",0.73205,0.78708,0.05503,
dt,0,"1, 6, 10",0.73205,0.78708,0.05503,
dt,0,"1, 6, 11",0.73205,0.78947,0.05742,
dt,0,"1, 7, 8",0.73205,0.78708,0.05503,
dt,0,"1, 7, 9",0.73205,0.78708,0.05503,
dt,0,"1, 7, 10",0.73205,0.78708,0.05503,
dt,0,"1, 7, 11",0.73205,0.78708,0.05503,
dt,0,"1, 8, 9",0.73205,0.78708,0.05503,
dt,0,"1, 8, 10",0.73205,0.78708,0.05503,
dt,0,"1, 8, 11",0.73205,0.78708,0.05503,
dt,0,"1, 9, 10",0.73205,0.78708,0.05503,
dt,0,"1, 9, 11",0.73205,0.79186,0.05981,
dt,0,"1, 10, 11",0.73205,0.78708,0.05503,
dt,0,"2, 3, 4",0.73205,0.76794,0.03588,
dt,0,"2, 3, 5",0.73205,0.73923,0.00718,
dt,0,"2, 3, 6",0.73205,0.76315,0.0311,
dt,0,"2, 3, 7",0.73205,0.76555,0.03349,
dt,0,"2, 3, 8",0.73205,0.77272,0.04066,
dt,0,"2, 3, 9",0.73205,0.77272,0.04066,
dt,0,"2, 3, 10",0.73205,0.76555,0.03349,
dt,0,"2, 3, 11",0.73205,0.78468,0.05263,
dt,0,"2, 4, 5",0.73205,0.74641,0.01436,
dt,0,"2, 4, 6",0.73205,0.75598,0.02393,
dt,0,"2, 4, 7",0.73205,0.76794,0.03588,
dt,0,"2, 4, 8",0.73205,0.76794,0.03588,
dt,0,"2, 4, 9",0.73205,0.76794,0.03588,
dt,0,"2, 4, 10",0.73205,0.76794,0.03588,
dt,0,"2, 4, 11",0.73205,0.78708,0.05503,
dt,0,"2, 5, 6",0.73205,0.74641,0.01436,
dt,0,"2, 5, 7",0.73205,0.74641,0.01436,
dt,0,"2, 5, 8",0.73205,0.74162,0.00956,
dt,0,"2, 5, 9",0.73205,0.7488,0.01675,
dt,0,"2, 5, 10",0.73205,0.74401,0.01195,
dt,0,"2, 5, 11",0.73205,0.76315,0.0311,
dt,0,"2, 6, 7",0.73205,0.76315,0.0311,
dt,0,"2, 6, 8",0.73205,0.76076,0.02871,
dt,0,"2, 6, 9",0.73205,0.76794,0.03588,
dt,0,"2, 6, 10",0.73205,0.76315,0.0311,
dt,0,"2, 6, 11",0.73205,0.7799,0.04785,
dt,0,"2, 7, 8",0.73205,0.77272,0.04066,
dt,0,"2, 7, 9",0.73205,0.77272,0.04066,
dt,0,"2, 7, 10",0.73205,0.76555,0.03349,
dt,0,"2, 7, 11",0.73205,0.78708,0.05503,
dt,0,"2, 8, 9",0.73205,0.77272,0.04066,
dt,0,"2, 8, 10",0.73205,0.77272,0.04066,
dt,0,"2, 8, 11",0.73205,0.78708,0.05503,
dt,0,"2, 9, 10",0.73205,0.77272,0.04066,
dt,0,"2, 9, 11",0.73205,0.79425,0.0622,
dt,0,"2, 10, 11",0.73205,0.78468,0.05263,
dt,0,"3, 4, 5",0.73205,0.75598,0.02393,
dt,0,"3, 4, 6",0.73205,0.76555,0.03349,
dt,0,"3, 4, 7",0.73205,0.7799,0.04785,
dt,0,"3, 4, 8",0.73205,0.7799,0.04785,
dt,0,"3, 4, 9",0.73205,0.7799,0.04785,
dt,0,"3, 4, 10",0.73205,0.7799,0.04785,
dt,0,"3, 4, 11",0.73205,0.79665,0.06459,
dt,0,"3, 5, 6",0.73205,0.75119,0.01914,
dt,0,"3, 5, 7",0.73205,0.75358,0.02153,
dt,0,"3, 5, 8",0.73205,0.7488,0.01675,
dt,0,"3, 5, 9",0.73205,0.75598,0.02393,
dt,0,"3, 5, 10",0.73205,0.75598,0.02393,
dt,0,"3, 5, 11",0.73205,0.76794,0.03588,
dt,0,"3, 6, 7",0.73205,0.77033,0.03827,
